frame_id,move_id,role,receiver,candidate_id,pulse,l_ang_rad,fy05_r,fy05_theta_deg,fy08_r,fy08_theta_deg,key_250_rad,key_850_rad,key_258_rad,key_280_rad,key_580_rad,key_285_rad
1,1,probe,5,0,"Pulse(primitive='F', level=3)",0.11254221357197437,98.00829461577665,160.2253597337412,98.00000000000001,280.17,-0.0011183404872708858,0.0004586454248740601,-0.0006596950623964926,0.0006108652381984214,0.000507564201936539,0.0011184294401347383
2,3,probe,5,1,"Pulse(primitive='B', level=3)",0.11238529136147368,97.99569090785127,159.4945932749089,98.00000000000001,280.17,0.00529601909989641,-0.005881514346987249,-0.0005854952470907282,0.0006108652381984214,-0.00590655679596519,-0.0052956915577671015
3,5,probe,5,2,"Pulse(primitive='L', level=3)",0.11419440415625508,97.37503197671832,159.863708106382,98.00000000000001,280.17,0.003917673936052024,-0.0008374506271714433,0.003080223308880914,0.0006108652381984214,-0.00450835138863126,-0.0038974861504330605
4,7,probe,5,3,"Pulse(primitive='R', level=3)",0.11079913562217167,98.62496842855305,159.85633888878985,98.00000000000001,280.17,0.0002822279494620883,-0.004560721583715344,-0.004278493634253255,0.0006108652381984214,-0.0009136975423665872,-0.0003028323041684988
5,9,commit,5,-1,"Pulse(primitive='F', level=3)",0.11254221357197437,98.00829461577665,160.2253597337412,98.00000000000001,280.17,-0.0011183404872708858,0.0004586454248740601,-0.0006596950623964926,0.0006108652381984214,0.000507564201936539,0.0011184294401347383
6,10,probe,8,0,"Pulse(primitive='F', level=3)",0.11142342936370735,98.00829461577665,160.2253597337412,98.48247291123967,280.4017104822906,-0.0011183404872708858,-0.00015061732111065762,-0.0012689578083815434,0.0012065745557472418,-0.0029272838794327516,-0.0017207093236859539
7,12,probe,8,1,"Pulse(primitive='B', level=3)",0.11370946329798941,98.00829461577665,160.2253597337412,97.51914570630194,279.9360005902931,-0.0011183404872708858,0.0010723497865979814,-4.599070067290434e-05,-1.5935899976393664e-05,0.003977919987321776,0.00396198408734505
8,14,probe,8,2,"Pulse(primitive='L', level=3)",0.11367800952077746,98.00829461577665,160.2253597337412,97.60291556567297,280.452754171136,-0.0011183404872708858,-0.0031753974332742185,-0.004293737920544993,0.004258759584303551,-0.0007933841999862024,0.0034653753843170154
9,16,probe,8,3,"Pulse(primitive='R', level=3)",0.11144948636342027,98.00829461577665,160.2253597337412,98.39945184339247,279.88953472130214,-0.0011183404872708858,0.004088246781132843,0.002969906293861957,-0.0030059380798230784,0.001773005396479288,-0.0012329326833437904
10,18,probe,5,0,"Pulse(primitive='F', level=3)",0.11263743530502741,98.0205737434022,160.59064278032398,98.00000000000001,280.17,-0.0043416652573041725,0.003609688962814217,-0.0007319762944899555,0.0006108652381984214,0.003731912528581738,0.004342777766780159
11,20,probe,5,1,"Pulse(primitive='B', level=3)",0.11245814644069076,98.0,159.86,98.00000000000001,280.17,0.002094395102393176,-0.0027052603405914866,-0.0006108652381984214,0.0006108652381984214,-0.0027052603405915976,-0.002094395102393287
12,22,probe,5,2,"Pulse(primitive='L', level=3)",0.11428241641463292,97.38337982407363,160.23141216605453,98.00000000000001,280.17,0.0006704766748582003,0.002360264625798858,0.0030307413006571693,0.0006108652381984214,-0.0012884201273662965,-0.0006775548891682082
13,24,probe,5,3,"Pulse(primitive='R', level=3)",0.11087906648021659,98.63321048726924,160.2193839948203,98.00000000000001,280.17,-0.0028965684249977475,-0.0014301112748260625,-0.00432667969982381,0.0006108652381984214,0.0022920245822275476,0.002902889820425747
14,26,probe,8,0,"Pulse(primitive='F', level=4)",0.11197669967522525,98.00829461577665,160.2253597337412,98.24103561702985,280.28613973009146,-0.0011183404872708858,0.00015346184061115764,-0.0009648786466596171,0.0009125749714952169,-0.0012142728962739602,-0.0003016979247789653
15,28,probe,8,1,"Pulse(primitive='B', level=4)",0.11311984349751053,98.00829461577665,160.2253597337412,97.75936903127737,280.0532880413334,-0.0011183404872708858,0.0007649394023984124,-0.00035340108487247335,0.00030138262404144633,0.002238278179595765,0.0025396608036369894
16,30,probe,8,2,"Pulse(primitive='L', level=4)",0.11310479692943083,98.00829461577665,160.2253597337412,97.80116005043061,280.31109008190134,-0.0011183404872708858,-0.0013578263006244207,-0.0024761667878951954,0.002430915941736167,-0.00013845054365135834,0.0022924653980844756
17,32,probe,8,3,"Pulse(primitive='R', level=4)",0.11199039678800554,98.00829461577665,160.2253597337412,98.19943179718535,280.0294821444877,-0.0011183404872708858,0.0022740067642270656,0.0011556662769562909,-0.001201412634012855,0.0011447020991151025,-5.6710534897863596e-05
18,34,probe,5,0,"Pulse(primitive='F', level=4)",0.11258843393829539,98.0139361978148,160.40801269762392,98.00000000000001,280.17,-0.002728711888929869,0.0020358070354160596,-0.0006929048535135873,0.0006108652381984214,0.002118298199674351,0.0027291634378723284
19,36,probe,5,1,"Pulse(primitive='B', level=4)",0.11249878195009025,98.00364916928572,160.04268759748447,98.00000000000001,280.17,0.0004893836151670383,-0.0011217317682077343,-0.000632348153040585,0.0006108652381984214,-0.0011002888343133455,-0.000489423596115035
20,38,probe,5,2,"Pulse(primitive='L', level=4)",0.11340283819229313,97.69583708365639,160.22837627124986,98.00000000000001,280.17,-0.00022526018209390042,0.0014078393623523366,0.0011825791802586583,0.0006108652381984214,-0.00038898122400576884,0.00022188401419254156
21,40,probe,5,3,"Pulse(primitive='R', level=4)",0.11170085357868922,98.32075241783606,160.2223623689962,98.00000000000001,280.17,-0.002008773490474902,-0.0004873329129576609,-0.002496106403432563,0.0006108652381984214,0.0014012286560844966,0.002012093894282696
22,42,probe,8,0,"Pulse(primitive='F', level=5)",0.11225793417885148,98.00829461577665,160.2253597337412,98.12046741373975,280.22814119014095,-0.0011183404872708858,0.0003059152077512506,-0.0008124252795194131,0.0007626877872234372,-0.00035446077992762337,0.0004082270072955918
23,44,probe,8,1,"Pulse(primitive='B', level=5)",0.11282952195036222,98.00829461577665,160.2253597337412,97.87963374795719,280.11171575292025,-0.0011183404872708858,0.0006116532396452934,-0.0005066872476253703,0.00045709947360217384,0.0013718084007527942,0.001828907874354968
24,46,probe,8,2,"Pulse(primitive='L', level=5)",0.11282216807130793,98.00829461577665,160.2253597337412,97.90050581862421,280.2404734010305,-0.0011183404872708858,-0.000449452324797428,-0.0015677928120680917,0.0015199177222596782,0.00018566906854744492,0.0017055867908069011
25,48,probe,8,3,"Pulse(primitive='R', level=5)",0.11226495067777277,98.00829461577665,160.2253597337412,98.09964214298914,280.0996696557717,-0.0011183404872708858,0.001366465577342324,0.0002481250900716603,-0.0002962440333873495,0.0008272401203130997,0.0005309960869255281
26,50,commit,8,-1,"Pulse(primitive='F', level=5)",0.11225793417885148,98.00829461577665,160.2253597337412,98.12046741373975,280.22814119014095,-0.0011183404872708858,0.0003059152077512506,-0.0008124252795194131,0.0007626877872234372,-0.00035446077992762337,0.0004082270072955918
27,51,probe,5,0,"Pulse(primitive='F', level=5)",0.11228060193769795,98.0109908998914,160.31668884408992,98.12046741373975,280.22814119014095,-0.0019231993586900087,0.0010955643408184779,-0.0008276350178713088,0.0007626877872234372,0.00044988376550780806,0.0012125715527309122
