state_step,phase,event,key_250_rad,key_850_rad,key_258_rad,key_280_rad,key_580_rad,key_285_rad,local_rms_FY01_rad,local_rms_FY03_rad,local_rms_FY04_rad,local_rms_FY06_rad,local_rms_FY07_rad,local_rms_FY09_rad
0,initial,initial,,,,,,,,,,,,
2,stage_i,accepted_FY05,-0.0011183404872708,0.000458645424874,-0.0006596950623967,0.0006108652381984,0.0005075642019365,0.0011184294401347,,,,,,
3,stage_i,accepted_FY08,-0.0011183404872708,0.0003059152077512,-0.0008124252795194,0.0007626877872233,-0.0003544607799276,0.0004082270072955,,,,,,
4,stage_i,accepted_FY05,-0.0003141434409149,-0.0004845363800444,-0.0007986798209593,0.0007626877872233,-0.0011580865265352,-0.0003953987393119,,,,,,
5,stage_i,accepted_FY08,-0.0003141434409149,-0.0003311452342434,-0.0006452886751584,0.0006108652381984,-0.0002967224733488,0.0003141427648492,,,,,,
5,stage_i,stage_i_complete,-0.0003141434409149,-0.0003311452342434,-0.0006452886751584,0.0006108652381984,-0.0002967224733488,0.0003141427648492,,,,,,
7,stage_ii,parallel_batch_accepted,,,,,,,0.0172543800920888,0.1125571524102503,0.0277791109219586,0.1048158571507225,0.0345933339635518,0.1075224446488586
8,stage_ii,parallel_batch_accepted,,,,,,,0.0172543800920888,0.0681514070907181,0.0131871863201872,0.053559244103703,0.0056091736687408,0.0574535689437307
9,stage_ii,parallel_batch_accepted,,,,,,,0.0153759504399804,0.031249667171406,0.0131871863201872,0.0147492090582025,0.0056091736687408,0.0196884507167388
10,stage_ii,parallel_batch_accepted,,,,,,,0.0153759504399804,0.0225529131915211,0.0131871863201872,0.0147492090582025,0.0056091736687408,0.0196884507167388
11,stage_ii,parallel_batch_accepted,,,,,,,0.0071953922935938,0.0225529131915211,0.0103892570520963,0.0128823361854952,0.0056091736687408,0.0164859213816174
12,stage_ii,parallel_batch_accepted,,,,,,,0.0052382095625575,0.0115136334795251,0.0044938185174946,0.0128823361854952,0.0056091736687408,0.0164859213816174
13,stage_ii,parallel_batch_accepted,,,,,,,0.0052382095625575,0.0068251337586006,0.0037095809217755,0.0054942738367926,0.0048067475050797,0.0102713183190702
14,stage_ii,parallel_batch_accepted,,,,,,,0.0034129810716925,0.0068251337586006,0.0037095809217755,0.0028106503020575,0.0037717970259567,0.0064457975520075
15,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0043945369013789,0.0026092446013154,0.0028106503020575,0.0037610743907424,0.0064457975520075
16,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0043945369013789,0.0026092446013154,0.0027614781727023,0.0022864560827943,0.0064457975520075
17,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.003991855205503,0.0026092446013154,0.0027614781727023,0.001760673029449,0.0054655646203043
18,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0036748750009721,0.0021527268620381,0.0022143468852565,0.001760673029449,0.0044166559815647
19,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0015840218709355,0.0022143468852565,0.0010455819243959,0.0038408334322254
20,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0012904088618347,0.0015874403550332,0.0007906929734114,0.0033895743472692
21,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0012904088618347,0.0010860745747499,0.0007906929734114,0.0019538864170242
22,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0010069947518354,0.0010860745747499,0.0007906929734114,0.0012891542440083
23,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0007631739330827,0.001020536435276,0.0007906929734114,0.0012891542440083
24,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0007631739330827,0.0007593917497164,0.0007906929734114,0.0010796402248384
25,stage_ii,parallel_batch_accepted,,,,,,,0.0001635628419038,0.0006974430530904,0.0007631739330827,0.0007593917497164,0.0007906929734114,0.0002609214597484
25,stage_ii,stage_ii_complete,,,,,,,0.0001635628419038,0.0006974430530904,0.0007631739330827,0.0007593917497164,0.0007906929734114,0.0002609214597484
25,final,final_success,,,,,,,0.0001635628419038,0.0006974430530904,0.0007631739330827,0.0007593917497164,0.0007906929734114,0.0002609214597484
